1         	10013     	P         	5.98      	5.99565117875944    	6.02      	          	DPS_FVMV_60mA_DPS5
1         	10014     	P         	5.98      	5.99755855649653    	6.02      	          	DPS_FVMV_60mA_DPS6
1         	10015     	P         	5.98      	5.99107347219043    	6.02      	          	DPS_FVMV_60mA_DPS7
1         	10016     	P         	5.98      	6.00213626306554    	6.02      	          	DPS_FVMV_60mA_DPS8
2         	10010     	P         	5.98      	5.99565117875944    	6.02      	          	DPS_FVMV_60mA_DPS2
2         	10009     	P         	5.98      	5.99603265430686    	6.02      	          	DPS_FVMV_60mA_DPS1
2         	10016     	P         	5.98      	5.99069199664302    	6.02      	          	DPS_FVMV_60mA_DPS8
2         	10015     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_60mA_DPS7
2         	10014     	P         	5.98      	5.99641412985428    	6.02      	          	DPS_FVMV_60mA_DPS6
2         	10013     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_60mA_DPS5
2         	10012     	P         	5.98      	5.99069199664302    	6.02      	          	DPS_FVMV_60mA_DPS4
2         	10011     	P         	5.98      	5.99984740978103    	6.02      	          	DPS_FVMV_60mA_DPS3
3         	10014     	P         	5.98      	5.99107347219043    	6.02      	          	DPS_FVMV_60mA_DPS6
3         	10015     	P         	5.98      	6.00289921416037    	6.02      	          	DPS_FVMV_60mA_DPS7
3         	10016     	P         	5.98      	5.99412527656977    	6.02      	          	DPS_FVMV_60mA_DPS8
3         	10013     	P         	5.98      	5.99679560540169    	6.02      	          	DPS_FVMV_60mA_DPS5
3         	10012     	P         	5.98      	5.98954757000076    	6.02      	          	DPS_FVMV_60mA_DPS4
3         	10011     	P         	5.98      	5.99526970321202    	6.02      	          	DPS_FVMV_60mA_DPS3
3         	10010     	P         	5.98      	5.99526970321202    	6.02      	          	DPS_FVMV_60mA_DPS2
3         	10009     	P         	5.98      	5.99679560540169    	6.02      	          	DPS_FVMV_60mA_DPS1
4         	10016     	P         	5.98      	5.99183642328527    	6.02      	          	DPS_FVMV_60mA_DPS8
4         	10015     	P         	5.98      	6.00099183642329    	6.02      	          	DPS_FVMV_60mA_DPS7
4         	10014     	P         	5.98      	5.9925993743801     	6.02      	          	DPS_FVMV_60mA_DPS6
4         	10013     	P         	5.98      	5.99641412985428    	6.02      	          	DPS_FVMV_60mA_DPS5
4         	10012     	P         	5.98      	5.99870298313878    	6.02      	          	DPS_FVMV_60mA_DPS4
4         	10011     	P         	5.98      	5.99717708094911    	6.02      	          	DPS_FVMV_60mA_DPS3
4         	10010     	P         	5.98      	5.99336232547494    	6.02      	          	DPS_FVMV_60mA_DPS2
4         	10009     	P         	5.98      	5.99488822766461    	6.02      	          	DPS_FVMV_60mA_DPS1

1         	17        	P         	3.27      	3.29594872968643    	3.34      	V         	DPS_FVMV_2mA_DPS1
1         	18        	P         	3.27      	3.30014496070802    	3.34      	V         	DPS_FVMV_2mA_DPS2
1         	19        	P         	3.27      	3.29365987640192    	3.34      	V         	DPS_FVMV_2mA_DPS3
1         	20        	P         	3.27      	3.2974746318761     	3.34      	V         	DPS_FVMV_2mA_DPS4
1         	21        	P         	3.27      	3.29823758297093    	3.34      	V         	DPS_FVMV_2mA_DPS5
1         	22        	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_2mA_DPS6
1         	23        	P         	3.27      	3.29404135194934    	3.34      	V         	DPS_FVMV_2mA_DPS7
1         	24        	P         	3.27      	3.30243381399252    	3.34      	V         	DPS_FVMV_2mA_DPS8
2         	18        	P         	3.27      	3.29633020523384    	3.34      	V         	DPS_FVMV_2mA_DPS2
2         	17        	P         	3.27      	3.30052643625544    	3.34      	V         	DPS_FVMV_2mA_DPS1
2         	24        	P         	3.27      	3.29442282749676    	3.34      	V         	DPS_FVMV_2mA_DPS8
2         	23        	P         	3.27      	3.29900053406577    	3.34      	V         	DPS_FVMV_2mA_DPS7
2         	22        	P         	3.27      	3.29480430304417    	3.34      	V         	DPS_FVMV_2mA_DPS6
2         	21        	P         	3.27      	3.30052643625544    	3.34      	V         	DPS_FVMV_2mA_DPS5
2         	20        	P         	3.27      	3.29213397421225    	3.34      	V         	DPS_FVMV_2mA_DPS4
2         	19        	P         	3.27      	3.30128938735027    	3.34      	V         	DPS_FVMV_2mA_DPS3
3         	22        	P         	3.27      	3.29404135194934    	3.34      	V         	DPS_FVMV_2mA_DPS6
3         	23        	P         	3.27      	3.30395971618219    	3.34      	V         	DPS_FVMV_2mA_DPS7
3         	24        	P         	3.27      	3.29709315632868    	3.34      	V         	DPS_FVMV_2mA_DPS8
3         	21        	P         	3.27      	3.29861905851835    	3.34      	V         	DPS_FVMV_2mA_DPS5
3         	20        	P         	3.27      	3.29480430304417    	3.34      	V         	DPS_FVMV_2mA_DPS4
